customer_id,segment,R_score,F_score,M_score,RFM_score,recency_days,frequency,monetary,avg_discount,return_rate,complaint_score,engagement_score,sessions_30d,last_visit_days_ago,last_campaign_received,manual_priority_bucket,churn_next_60d,split
CUST00001,At-Risk Customers,2,5,4,11,107,6,2955.57,0.36333333333333334,0.16666666666666666,0.33333333333333337,0.17041025640903237,1,20,welcome_offer,high,1,train
CUST00002,At-Risk Customers,4,1,1,6,40,1,581.0,0.23,0.0,0.06666666666666667,0.3786666666566311,8,0,free_shipping,medium,0,train
CUST00003,At-Risk Customers,1,1,1,3,171,1,649.98,0.47,0.0,0.0,0.12733333333421779,1,26,none,high,1,train
CUST00004,At-Risk Customers,2,1,3,6,131,1,1604.04,0.16,0.0,0.0,0.1673333333335511,1,14,free_shipping,high,1,train
CUST00005,At-Risk Customers,4,3,3,10,38,4,2550.91,0.4425,0.0,0.4666666666666667,0.5399487179281419,18,9,welcome_offer,medium,0,train
CUST00006,At-Risk Customers,3,4,4,11,51,5,3770.16,0.358,0.2,0.6333333333333333,0.24133333333088,2,1,none,medium,0,validation
CUST00007,Promising Risers,5,1,1,7,3,1,719.33,0.18,0.0,0.0,0.5293846153577464,11,12,free_shipping,low,0,train
CUST00008,Loyal Customers,3,3,4,10,47,4,2747.33,0.2225,0.0,0.06666666666666667,0.19133333333171335,2,16,bundle_discount,medium,0,validation
CUST00009,At-Risk Customers,4,1,1,6,31,1,376.85,0.49,0.0,0.0,0.38399999999000667,11,6,none,low,0,train
CUST00010,Promising Risers,5,1,1,7,9,1,636.8,0.45,0.0,0.0,0.48456410254760823,13,5,none,low,0,train
CUST00011,Promising Risers,5,2,2,9,1,2,925.0699999999999,0.15500000000000003,0.0,0.0,0.37333333332495555,10,0,new_launch,low,0,train
CUST00012,At-Risk Customers,3,2,3,8,50,2,2051.63,0.29500000000000004,0.0,0.4666666666666667,0.2419999999972089,3,5,none,medium,1,train
CUST00013,At-Risk Customers,3,3,3,9,61,3,1754.44,0.23,0.0,0.4666666666666667,0.22574358973935238,4,21,free_shipping,medium,0,train
CUST00014,At-Risk Customers,3,5,5,13,51,11,8130.16,0.2618181818181818,0.0,0.33333333333333337,0.3473333333239511,11,17,bundle_discount,medium,0,train
CUST00015,Loyal Customers,4,3,5,12,35,4,4200.93,0.3025,0.0,0.0,0.28066666666114004,6,11,none,low,0,train
CUST00016,Dormant Customers,1,1,1,3,215,1,478.02,0.22,0.0,0.06666666666666667,0.20082051281345364,2,32,welcome_offer,high,1,test
CUST00017,Dormant Customers,1,3,3,7,286,3,1699.1399999999999,0.26666666666666666,0.0,0.0,0.2865128204927035,4,47,bundle_discount,high,1,train
CUST00018,At-Risk Customers,2,1,1,4,111,1,329.21,0.36,0.0,0.0,0.2148205128103936,3,37,new_launch,high,1,test
CUST00019,Promising Risers,5,2,3,10,9,2,1598.93,0.105,0.0,0.0,0.3546153846043663,5,0,free_shipping,low,0,train
CUST00020,Dormant Customers,1,3,5,9,368,3,4487.950000000001,0.13,0.0,0.4666666666666667,3.333311404674078e-12,0,60,welcome_offer,high,1,train
CUST00021,At-Risk Customers,3,2,2,7,77,2,1059.3,0.435,0.0,0.4666666666666667,0.2217435897397457,3,18,new_launch,high,1,train
CUST00022,Promising Risers,4,1,1,6,29,1,454.06,0.31,0.0,0.0,0.48615384613497364,10,0,welcome_offer,low,0,train
CUST00023,At-Risk Customers,4,1,1,6,21,1,400.98,0.25,0.0,0.0,0.29815384614483803,3,7,welcome_offer,low,0,train
